1.119157819, Sport: ,Tennis, Time: ,Tue Jun 16 13:30:00 CEST 2015, Time: ,Tue Jun 16 13:30:00 CEST 2015, Event: ,Kyrgios v S Wawrinka, Favorite: ,Stan Wawrinka, 8597476   size:95.6,Price: ,1.66,Nick Kyrgios, 7299658   size:36.84,Price: ,2.48,ok
1.119159073, Sport: ,Tennis, Time: ,Tue Jun 16 12:00:00 CEST 2015, Time: ,Tue Jun 16 12:00:00 CEST 2015, Event: ,J Jankovic v Smitkova, Favorite: ,Jelena Jankovic, 2252607   size:13.84,Price: ,1.44,Tereza Smitkova, 7186355   size:90.98,Price: ,3.05,ok
1.119157070, Sport: ,Tennis, Time: ,Tue Jun 16 12:45:00 CEST 2015, Time: ,Tue Jun 16 12:45:00 CEST 2015, Event: ,Lindell v Boutillier, Favorite: ,Christian Lindell, 4843189   size:3.67,Price: ,1.56,Remi Boutillier, 8596370   size:5.76,Price: ,2.58,ok
1.119167077, Sport: ,Tennis, Time: ,Tue Jun 16 10:00:00 CEST 2015, Time: ,Tue Jun 16 10:00:00 CEST 2015, Event: ,Collarini v Hernandez-Fernandez, Favorite: ,Jose Hernandez-Fernande, 9420497   size:71.36,Price: ,1.41,Andrea Collarini, 8284716   size:227.84,Price: ,2.94,ok
1.119159794, Sport: ,Tennis, Time: ,Tue Jun 16 13:45:00 CEST 2015, Time: ,Tue Jun 16 13:45:00 CEST 2015, Event: ,Begemann/Mayer v Brown/Struff, Favorite: ,Begemann/Mayer, 8402844   size:5.72,Price: ,1.68,Brown/Struff, 8597199   size:4.61,Price: ,2.08,x
1.119156323, Sport: ,Tennis, Time: ,Tue Jun 16 11:15:00 CEST 2015, Time: ,Tue Jun 16 11:15:00 CEST 2015, Event: ,Molchanov v Niki, Favorite: ,Denys Molchanov, 3474265   size:3.52,Price: ,1.8,Takuto Niki, 8351123   size:2.55,Price: ,2.1,ok
1.119170049, Sport: ,Tennis, Time: ,Tue Jun 16 13:30:00 CEST 2015, Time: ,Tue Jun 16 13:30:00 CEST 2015, Event: ,Vinci v Babos, Favorite: ,Roberta Vinci, 2249840   size:26.97,Price: ,1.68,Timea Babos, 4828174   size:69.21,Price: ,2.42,x
1.119159436, Sport: ,Tennis, Time: ,Tue Jun 16 13:45:00 CEST 2015, Time: ,Tue Jun 16 13:45:00 CEST 2015, Event: ,Jaziri v L Broady, Favorite: ,Malek Jaziri, 5776215   size:4.88,Price: ,1.64,Liam Broady, 5626816   size:18.7,Price: ,2.48,ok
1.119167008, Sport: ,Tennis, Time: ,Tue Jun 16 10:00:00 CEST 2015, Time: ,Tue Jun 16 10:00:00 CEST 2015, Event: ,Coin v Melnikova, Favorite: ,Marina Melnikova, 6390238   size:6.79,Price: ,1.58,Julie Coin, 3289144   size:5.76,Price: ,2.4,ok
1.119157078, Sport: ,Tennis, Time: ,Tue Jun 16 12:45:00 CEST 2015, Time: ,Tue Jun 16 12:45:00 CEST 2015, Event: ,Tatlot v Hamou, Favorite: ,Maxime Hamou, 8859456   size:5.85,Price: ,1.67,Johan Tatlot, 9499063   size:10.29,Price: ,2.26,x
1.119159532, Sport: ,Tennis, Time: ,Tue Jun 16 11:45:00 CEST 2015, Time: ,Tue Jun 16 11:45:00 CEST 2015, Event: ,Dellien v Ramirez Hidalgo, Favorite: ,Ruben Ramirez Hidalgo, 2257299   size:3.85,Price: ,1.35,Hugo Dellien, 8226987   size:3.07,Price: ,3.35,ok
1.119158365, Sport: ,Tennis, Time: ,Tue Jun 16 13:45:00 CEST 2015, Time: ,Tue Jun 16 13:45:00 CEST 2015, Event: ,Rosol v Monfils, Favorite: ,Gael Monfils, 2257300   size:133.18,Price: ,1.34,Lukas Rosol, 2258415   size:10.85,Price: ,3.55,ok
1.119170025, Sport: ,Tennis, Time: ,Tue Jun 16 12:00:00 CEST 2015, Time: ,Tue Jun 16 12:00:00 CEST 2015, Event: ,K Bondarenko v Diyas, Favorite: ,Zarina Diyas, 4045175   size:216.79,Price: ,1.64,Kateryna Bondarenko, 2291864   size:84.94,Price: ,2.32,ok
1.119157038, Sport: ,Tennis, Time: ,Tue Jun 16 12:30:00 CEST 2015, Time: ,Tue Jun 16 12:30:00 CEST 2015, Event: ,Ma Gonzalez v Munar, Favorite: ,Maximo Gonzalez, 2489416   size:1781.55,Price: ,1.07,Jaume Munar, 9350385   size:4.99,Price: ,8.2,ok
