1.120158813, Sport: ,Soccer, Time: ,Fri Aug 28 19:30:00 CEST 2015, Time: ,Fri Aug 28 19:30:00 CEST 2015, Event: ,Aspudden-Tellus v Konyaspor KIF, Favorite: ,Aspudden-Tellus, 8438628   size:4.56,Price: ,2.14,Konyaspor KIF, 6419265   size:3.33,Price: ,2.4,The Draw, 58805   size:4.12,Price: ,3.4,
1.120158074, Sport: ,Soccer, Time: ,Fri Aug 28 19:30:00 CEST 2015, Time: ,Fri Aug 28 19:30:00 CEST 2015, Event: ,Anderlecht (Y) v Gent (Y), Favorite: ,Gent (Y), 7152306   size:136.51,Price: ,1.06,The Draw, 58805   size:3.98,Price: ,1.25,
1.120132313, Sport: ,Handball, Time: ,Fri Aug 28 19:30:00 CEST 2015, Time: ,Fri Aug 28 19:30:00 CEST 2015, Event: ,Ribe Esbjerg v Skive fH, Favorite: ,Ribe Esbjerg, 6602892   size:4.98,Price: ,1.25,Skive fH, 5798546   size:80.56,Price: ,5.3,Draw, 330157   size:68.93,Price: ,9.6,
1.120158129, Sport: ,Soccer, Time: ,Fri Aug 28 19:30:00 CEST 2015, Time: ,Fri Aug 28 19:30:00 CEST 2015, Event: ,Wiener SK v SV Oberwart, Favorite: ,Wiener SK, 345639   size:2.77,Price: ,2.24,SV Oberwart, 3258136   size:2.11,Price: ,2.94,The Draw, 58805   size:6.85,Price: ,3.35,
1.120222530, Sport: ,Soccer, Time: ,Fri Aug 28 20:00:00 CEST 2015, Time: ,Fri Aug 28 20:00:00 CEST 2015, Event: ,Chateauroux v Chambly Thelle, Favorite: ,Chateauroux, 70469   size:22.81,Price: ,2.4,The Draw, 58805   size:9.69,Price: ,2.94,Chambly Thelle, 6063132   size:315.01,Price: ,3.9,
1.120263616, Sport: ,Soccer, Time: ,Fri Aug 28 20:00:00 CEST 2015, Time: ,Fri Aug 28 20:00:00 CEST 2015, Event: ,Altinordu v 1461 Trabzon, Favorite: ,Altinordu, 5290988   size:168.27,Price: ,2.32,1461 Trabzon, 5289229   size:10.51,Price: ,3.3,The Draw, 58805   size:2.71,Price: ,3.4,
1.120222528, Sport: ,Soccer, Time: ,Fri Aug 28 20:00:00 CEST 2015, Time: ,Fri Aug 28 20:00:00 CEST 2015, Event: ,Avranches v Frejus St-Raphael, Favorite: ,The Draw, 58805   size:94.99,Price: ,2.92,Frejus St-Raphael, 6063342   size:9.15,Price: ,2.98,
1.120222534, Sport: ,Soccer, Time: ,Fri Aug 28 20:00:00 CEST 2015, Time: ,Fri Aug 28 20:00:00 CEST 2015, Event: ,Marseille Consolat v Colmar, Favorite: ,Marseille Consolat, 8750956   size:18.71,Price: ,2.64,Colmar, 1355043   size:18.3,Price: ,3.0,The Draw, 58805   size:78.27,Price: ,3.2,
1.120222532, Sport: ,Soccer, Time: ,Fri Aug 28 20:00:00 CEST 2015, Time: ,Fri Aug 28 20:00:00 CEST 2015, Event: ,Belfort ASM v Beziers, Favorite: ,Belfort ASM, 6941420   size:72.58,Price: ,2.42,The Draw, 58805   size:2.71,Price: ,2.94,Beziers, 8076581   size:23.26,Price: ,3.65,
1.120305143, Sport: ,Tennis, Time: ,Fri Aug 28 20:30:00 CEST 2015, Time: ,Fri Aug 28 20:30:00 CEST 2015, Event: ,K Bondarenko v Hibino, Favorite: ,Kateryna Bondarenko, 2291864   size:111.88,Price: ,1.39,Nao Hibino, 7683152   size:18.91,Price: ,2.94,
1.120267397, Sport: ,Soccer, Time: ,Fri Aug 28 20:30:00 CEST 2015, Time: ,Fri Aug 28 20:30:00 CEST 2015, Event: ,Denbigh Town FC v Caernarfon Town, Favorite: ,Caernarfon Town, 3664465   size:136.51,Price: ,1.06,The Draw, 58805   size:2.52,Price: ,1.07,
1.120271761, Sport: ,Hockey, Time: ,Fri Aug 28 20:30:00 CEST 2015, Time: ,Fri Aug 28 20:30:00 CEST 2015, Event: ,England (W) v Spain (W), Favorite: ,England (W), 5764154   size:5.78,Price: ,1.19,Draw, 318509   size:136.61,Price: ,5.8,Spain (W), 5764150   size:4.75,Price: ,9.2,
1.120302784, Sport: ,Tennis, Time: ,Fri Aug 28 20:30:00 CEST 2015, Time: ,Fri Aug 28 20:30:00 CEST 2015, Event: ,Goerges/Hradecka v Kops-Jones/Spears, Favorite: ,Kops-Jones/Spears, 3636565   size:98.93,Price: ,1.79,Goerges/Hradecka, 9653008   size:106.76,Price: ,1.83,
1.120146300, Sport: ,Soccer, Time: ,Fri Aug 28 20:30:00 CEST 2015, Time: ,Fri Aug 28 20:30:00 CEST 2015, Event: ,Villarreal v Espanyol, Favorite: ,Villarreal, 28191   size:519.37,Price: ,1.62,The Draw, 58805   size:203.83,Price: ,4.1,Espanyol, 59044   size:2119.03,Price: ,7.0,
