1.121189115, Sport: ,Basketball, Time: ,Tue Oct 13 04:00:00 CEST 2015, Time: ,Tue Oct 13 04:00:00 CEST 2015, Event: ,Portland @ Utah, Favorite: ,Utah, 13119   size:8.2,Price: ,1.03,Portland, 13129   size:5.71,Price: ,1.24,x
1.121205323, Sport: ,Tennis, Time: ,Mon Oct 12 19:00:00 CEST 2015, Time: ,Mon Oct 12 19:00:00 CEST 2015, Event: ,Kutrovsky v Polansky, Favorite: ,Peter Polansky, 2504190   size:84.75,Price: ,1.81,Dimitar Kutrovsky, 6163094   size:87.97,Price: ,2.12,ok
1.121205352, Sport: ,Baseball, Time: ,Mon Oct 12 22:07:00 CEST 2015, Time: ,Mon Oct 12 22:07:00 CEST 2015, Event: ,TOR @ TEX, Favorite: ,Toronto (R Dickey), 7172150   size:4510.1,Price: ,1.75,Texas (D Holland), 3915917   size:108.61,Price: ,2.24,ok
1.121197403, Sport: ,Tennis, Time: ,Mon Oct 12 16:14:00 CEST 2015, Time: ,Mon Oct 12 16:14:00 CEST 2015, Event: ,M Gasparyan v C Witthoeft, Favorite: ,Margarita Gasparyan, 6750186   size:534.75,Price: ,1.84,Carina Witthoeft, 5408907   size:136.59,Price: ,2.14,ok
1.121197007, Sport: ,Soccer, Time: ,Mon Oct 12 20:45:00 CEST 2015, Time: ,Mon Oct 12 20:45:00 CEST 2015, Event: ,Hitchin Town v Enfield Town, Favorite: ,Hitchin Town, 4317865   size:2.55,Price: ,1.88,Enfield Town, 7133935   size:2.55,Price: ,4.0,The Draw, 58805   size:6.34,Price: ,3.7,x
1.121040468, Sport: ,Soccer, Time: ,Mon Oct 12 18:00:00 CEST 2015, Time: ,Mon Oct 12 18:00:00 CEST 2015, Event: ,Russia v Montenegro, Favorite: ,Russia, 25907   size:4659.28,Price: ,1.36,Montenegro, 2345367   size:360.36,Price: ,12.0,The Draw, 58805   size:437.17,Price: ,5.3,ok
1.121188491, Sport: ,Tennis, Time: ,Tue Oct 13 05:00:00 CEST 2015, Time: ,Tue Oct 13 05:00:00 CEST 2015, Event: ,Lamasine v Y Mertens, Favorite: ,Yannick Mertens, 4521608   size:2.55,Price: ,1.66,Tristan Lamasine, 8428332   size:5.22,Price: ,2.3,x
1.121197084, Sport: ,Tennis, Time: ,Mon Oct 12 16:48:00 CEST 2015, Time: ,Mon Oct 12 16:48:00 CEST 2015, Event: ,Bourgue/Hamou v Ahouda/Idmbarek, Favorite: ,Ahouda/Idmbarek, 8622426   size:2.7,Price: ,1.03,Bourgue/Hamou, 10384042   size:4.6,Price: ,1.2,x
1.121197085, Sport: ,Tennis, Time: ,Mon Oct 12 16:20:00 CEST 2015, Time: ,Mon Oct 12 16:20:00 CEST 2015, Event: ,Kovalik/Tsitsipas v Jdi/Saber, Favorite: ,Kovalik/Tsitsipas, 10408555   size:2.7,Price: ,1.03,Jdi/Saber, 10408556   size:2.0,Price: ,3.5,ok
1.121196713, Sport: ,Tennis, Time: ,Mon Oct 12 17:00:00 CEST 2015, Time: ,Mon Oct 12 17:00:00 CEST 2015, Event: ,Kops-Jones/Spears v Groenefeld/Rosolska, Favorite: ,Kops-Jones/Spears, 3636565   size:96.38,Price: ,1.45,Groenefeld/Rosolska, 8306783   size:8.59,Price: ,3.1,ok
1.121196316, Sport: ,Tennis, Time: ,Tue Oct 13 07:00:00 CEST 2015, Time: ,Tue Oct 13 07:00:00 CEST 2015, Event: ,Krawietz v Berankis, Favorite: ,Ricardas Berankis, 2923248   size:5.0,Price: ,1.23,Kevin Krawietz, 4061310   size:3.59,Price: ,4.7,ok
1.121194498, Sport: ,Soccer, Time: ,Mon Oct 12 21:00:00 CEST 2015, Time: ,Mon Oct 12 21:00:00 CEST 2015, Event: ,Universitario San Luis v Club Gimnasia y Tiro, Favorite: ,Universitario San Luis, 8389982   size:10.55,Price: ,1.22,Club Gimnasia y Tiro, 9564616   size:10.55,Price: ,1.22,The Draw, 58805   size:5.0,Price: ,2.98,ok
1.121196312, Sport: ,Tennis, Time: ,Tue Oct 13 08:45:00 CEST 2015, Time: ,Tue Oct 13 08:45:00 CEST 2015, Event: ,V Ivanov v Fayziev, Favorite: ,Vladimir Ivanov, 7658399   size:225.3,Price: ,1.6,Sanjar Fayziev, 8304051   size:5.71,Price: ,2.24,x
1.121041394, Sport: ,Soccer, Time: ,Mon Oct 12 19:00:00 CEST 2015, Time: ,Mon Oct 12 19:00:00 CEST 2015, Event: ,Belarus U19 v San Marino U19, Favorite: ,Belarus U19, 820881   size:163.93,Price: ,1.09,San Marino U19, 2098192   size:4.39,Price: ,44.0,The Draw, 58805   size:10.01,Price: ,14.5,ok
1.121195739, Sport: ,Tennis, Time: ,Tue Oct 13 09:00:00 CEST 2015, Time: ,Tue Oct 13 09:00:00 CEST 2015, Event: ,Caro Garcia v L Davis, Favorite: ,Caroline Garcia, 5248977   size:5.0,Price: ,1.39,Lauren Davis, 4176991   size:4.73,Price: ,3.4,ok
1.121195617, Sport: ,Tennis, Time: ,Tue Oct 13 07:00:00 CEST 2015, Time: ,Tue Oct 13 07:00:00 CEST 2015, Event: ,Hibino/Webley-Smith v Wang/Xun, Favorite: ,Hibino/Webley-Smith, 10250269   size:3.68,Price: ,1.36,Wang/Xun, 10407839   size:7.46,Price: ,2.86,ok
1.121203737, Sport: ,Tennis, Time: ,Mon Oct 12 20:00:00 CEST 2015, Time: ,Mon Oct 12 20:00:00 CEST 2015, Event: ,Capalbo/Espin Busleiman v Michon/Romboli, Favorite: ,Michon/Romboli, 10409107   size:4.06,Price: ,1.23,Capalbo/Espin Busleiman, 10409106   size:6.98,Price: ,3.95,x
1.121203739, Sport: ,Tennis, Time: ,Mon Oct 12 20:00:00 CEST 2015, Time: ,Mon Oct 12 20:00:00 CEST 2015, Event: ,Castro/Makiguchi v Andreozzi/Galdos, Favorite: ,Andreozzi/Galdos, 8553209   size:5.71,Price: ,1.17,Castro/Makiguchi, 10409110   size:7.29,Price: ,3.85,ok
1.121203733, Sport: ,Tennis, Time: ,Mon Oct 12 21:45:00 CEST 2015, Time: ,Mon Oct 12 21:45:00 CEST 2015, Event: ,Casanova/Kestelboim v Peralta/Zeballos, Favorite: ,Peralta/Zeballos, 10409109   size:5.0,Price: ,1.23,Casanova/Kestelboim, 10409108   size:7.42,Price: ,3.6,ok
1.121188532, Sport: ,Baseball, Time: ,Mon Oct 12 19:07:00 CEST 2015, Time: ,Mon Oct 12 19:07:00 CEST 2015, Event: ,KC @ HOU, Favorite: ,Houston (L McCullers), 9496284   size:4.05,Price: ,1.85,Kansas City (Y Ventura), 7663454   size:580.31,Price: ,2.14,x
1.121188412, Sport: ,Tennis, Time: ,Tue Oct 13 09:15:00 CEST 2015, Time: ,Tue Oct 13 09:15:00 CEST 2015, Event: ,T Haas v K Anderson, Favorite: ,Kevin Anderson, 2519549   size:110.62,Price: ,1.24,Tommy Haas, 2256508   size:62.0,Price: ,4.5,ok
1.121040056, Sport: ,Soccer, Time: ,Mon Oct 12 20:45:00 CEST 2015, Time: ,Mon Oct 12 20:45:00 CEST 2015, Event: ,Belarus v FYR Macedonia, Favorite: ,Belarus, 29634   size:1123.63,Price: ,1.86,FYR Macedonia, 29580   size:65.21,Price: ,5.3,The Draw, 58805   size:592.3,Price: ,3.6,x
1.121195692, Sport: ,Tennis, Time: ,Tue Oct 13 07:00:00 CEST 2015, Time: ,Tue Oct 13 07:00:00 CEST 2015, Event: ,Duckworth/Nguyen v Le/Vu, Favorite: ,Duckworth/Nguyen, 10407906   size:6.15,Price: ,1.04,Le/Vu, 10407907   size:43.59,Price: ,7.2,ok
