1.119434339, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Sundsvall v Halmstads, Favorite: ,Sundsvall, 30680   size:122.4,Price: ,2.08,The Draw, 58805   size:5.65,Price: ,3.7,Halmstads, 10765   size:218.84,Price: ,3.8,x
1.119433144, Sport: ,Soccer, Time: ,Sat Jul 18 18:30:00 CEST 2015, Time: ,Sat Jul 18 18:30:00 CEST 2015, Event: ,Vorskla v Volyn, Favorite: ,Vorskla, 2017721   size:50.83,Price: ,1.74,The Draw, 58805   size:2.63,Price: ,3.85,Volyn, 4115366   size:2.86,Price: ,5.4,x
1.119547951, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Hampton and Richmond v Aldershot, Favorite: ,Aldershot, 62504   size:187.03,Price: ,1.77,The Draw, 58805   size:61.28,Price: ,3.35,Hampton and Richmond, 2439369   size:58.77,Price: ,3.45,ok
1.119434248, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Orebro v Malmo FF, Favorite: ,Malmo FF, 174383   size:43.34,Price: ,2.02,Orebro, 42617   size:93.78,Price: ,3.9,The Draw, 58805   size:33.91,Price: ,3.95,x
1.119541024, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,CKS Chelmianka Chelm v Siarka Tarnobrzeg, Favorite: ,Siarka Tarnobrzeg, 7568775   size:142.57,Price: ,1.06,The Draw, 58805   size:2.88,Price: ,1.25,ok
1.119554101, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Deportivo Moron v Estudiantes de Caseros, Favorite: ,Deportivo Moron, 5289143   size:8.02,Price: ,2.54,Estudiantes de Caseros, 7546748   size:8.02,Price: ,2.72,The Draw, 58805   size:14.88,Price: ,2.88,x
1.119525928, Sport: ,Volleyball, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,Romania v Belarus, Favorite: ,Belarus, 2550291   size:132.01,Price: ,1.01,x
1.119545998, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Crawley Town v Fulham, Favorite: ,Fulham, 56764   size:5.91,Price: ,1.55,The Draw, 58805   size:56.47,Price: ,3.55,Crawley Town, 266068   size:43.63,Price: ,4.3,ok
1.119546808, Sport: ,Soccer, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,FK Jablonec v Varnsdorf, Favorite: ,Varnsdorf, 4142631   size:264.43,Price: ,1.01,The Draw, 58805   size:2.88,Price: ,1.25,x
1.119553219, Sport: ,Soccer, Time: ,Sat Jul 18 18:00:00 CEST 2015, Time: ,Sat Jul 18 18:00:00 CEST 2015, Event: ,Schalke II v Werder Bremen II, Favorite: ,Werder Bremen II, 9987568   size:18.42,Price: ,1.02,The Draw, 58805   size:5.76,Price: ,1.25,ok
