1.121807224, Sport: ,Soccer, Time: ,Sun Nov 22 17:30:00 CET 2015, Time: ,Sun Nov 22 17:30:00 CET 2015, Event: ,Spartak Moscow v FK Krasnodar, Favorite: ,Spartak Moscow, 5517   size:684.13,Price: ,2.68,FK Krasnodar, 4020902   size:206.64,Price: ,2.92,The Draw, 58805   size:133.97,Price: ,3.45,ok
1.121919099, Sport: ,Soccer, Time: ,Sun Nov 22 20:30:00 CET 2015, Time: ,Sun Nov 22 20:30:00 CET 2015, Event: ,CD Real Sociedad v CD Olimpia, Favorite: ,CD Real Sociedad, 9321002   size:2.69,Price: ,2.44,CD Olimpia, 1395933   size:2.67,Price: ,2.46,The Draw, 58805   size:2.18,Price: ,3.0,x
1.121866358, Sport: ,Soccer, Time: ,Sun Nov 22 12:00:00 CET 2015, Time: ,Sun Nov 22 12:00:00 CET 2015, Event: ,Almeria B v Linares Deportivo, Favorite: ,Almeria B, 5756672   size:81.27,Price: ,2.5,Linares Deportivo, 7977266   size:9.27,Price: ,3.2,The Draw, 58805   size:2.55,Price: ,3.15,x
1.121869974, Sport: ,Ice Hockey, Time: ,Sun Nov 22 15:20:00 CET 2015, Time: ,Sun Nov 22 15:20:00 CET 2015, Event: ,Karlovy Vary v HC Olomouc, Favorite: ,Karlovy Vary, 1366079   size:2.92,Price: ,2.18,HC Olomouc, 7213810   size:8.41,Price: ,2.76,Tie, 60104   size:19.32,Price: ,4.2,x
1.121947540, Sport: ,Soccer, Time: ,Sun Nov 22 12:00:00 CET 2015, Time: ,Sun Nov 22 12:00:00 CET 2015, Event: ,Real Oviedo II v UD Gijon Industrial, Favorite: ,Real Oviedo II, 7147611   size:5.0,Price: ,1.03,UD Gijon Industrial, 9376531   size:28.53,Price: ,1.1,The Draw, 58805   size:10.98,Price: ,2.88,ok
1.121944151, Sport: ,Soccer, Time: ,Sun Nov 22 16:30:00 CET 2015, Time: ,Sun Nov 22 16:30:00 CET 2015, Event: ,Al Jazira (UAE) v Al Nasr (UAE), Favorite: ,Al Jazira (UAE), 9300989   size:2.36,Price: ,2.38,Al Nasr (UAE), 6203741   size:2.21,Price: ,2.54,The Draw, 58805   size:3.24,Price: ,3.2,x
1.121866355, Sport: ,Soccer, Time: ,Sun Nov 22 12:15:00 CET 2015, Time: ,Sun Nov 22 12:15:00 CET 2015, Event: ,Real Jaen v La Hoya Lorca, Favorite: ,Real Jaen, 3303613   size:46.39,Price: ,2.14,La Hoya Lorca, 6415466   size:84.41,Price: ,4.0,The Draw, 58805   size:47.22,Price: ,3.1,x
1.121843128, Sport: ,Rugby Union, Time: ,Sun Nov 22 14:00:00 CET 2015, Time: ,Sun Nov 22 14:00:00 CET 2015, Event: ,Clermont v Ospreys, Favorite: ,Clermont, 1275770   size:55.49,Price: ,1.1,Ospreys, 789915   size:6.64,Price: ,12.0,Draw, 246289   size:20.55,Price: ,40.0,ok
1.121948752, Sport: ,Soccer, Time: ,Sun Nov 22 11:45:00 CET 2015, Time: ,Sun Nov 22 11:45:00 CET 2015, Event: ,CD Siete Villas v SD Textil Escudo, Favorite: ,CD Siete Villas, 9320409   size:5.0,Price: ,1.03,SD Textil Escudo, 8900487   size:5.0,Price: ,1.03,The Draw, 58805   size:10.98,Price: ,2.88,x
1.121949962, Sport: ,Soccer, Time: ,Sun Nov 22 15:30:00 CET 2015, Time: ,Sun Nov 22 15:30:00 CET 2015, Event: ,CF Villa de Alagon v Utebo CF, Favorite: ,CF Villa de Alagon, 8923239   size:5.63,Price: ,1.06,Utebo CF, 7295691   size:5.63,Price: ,1.06,The Draw, 58805   size:10.98,Price: ,2.88,x
1.121866351, Sport: ,Soccer, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,UCAM Murcia v Murcia, Favorite: ,UCAM Murcia, 5778410   size:18.4,Price: ,2.42,Murcia, 68244   size:37.56,Price: ,3.45,The Draw, 58805   size:10.19,Price: ,3.1,x
1.121944159, Sport: ,Soccer, Time: ,Sun Nov 22 10:30:00 CET 2015, Time: ,Sun Nov 22 10:30:00 CET 2015, Event: ,Mumbai Customs v KSA, Favorite: ,Mumbai Customs, 8415909   size:5.0,Price: ,1.03,KSA, 10549975   size:5.0,Price: ,1.03,The Draw, 58805   size:10.98,Price: ,2.88,ok
1.121944279, Sport: ,Soccer, Time: ,Sun Nov 22 13:00:00 CET 2015, Time: ,Sun Nov 22 13:00:00 CET 2015, Event: ,Arema Cronus v Sriwijaya FC, Favorite: ,Arema Cronus, 8567505   size:8.45,Price: ,1.04,Sriwijaya FC, 9156946   size:8.45,Price: ,1.04,The Draw, 58805   size:10.98,Price: ,2.88,ok
1.121950703, Sport: ,Soccer, Time: ,Sun Nov 22 11:00:00 CET 2015, Time: ,Sun Nov 22 11:00:00 CET 2015, Event: ,FC Olimpik Donetsk U19 v Dnipro U19, Favorite: ,FC Olimpik Donetsk U19, 8801000   size:5.0,Price: ,1.03,Dnipro U19, 6534955   size:5.0,Price: ,1.03,The Draw, 58805   size:10.98,Price: ,2.88,x
1.121944399, Sport: ,Soccer, Time: ,Sun Nov 22 12:00:00 CET 2015, Time: ,Sun Nov 22 12:00:00 CET 2015, Event: ,Thailand U21 v Vietnam U21, Favorite: ,Thailand U21, 8928101   size:5.0,Price: ,1.03,Vietnam U21, 7788548   size:5.0,Price: ,1.03,The Draw, 58805   size:10.98,Price: ,2.88,x
