1.121879091, Sport: ,Soccer, Time: ,Fri Nov 20 11:00:00 CET 2015, Time: ,Fri Nov 20 11:00:00 CET 2015, Event: ,JSM Bejaia U21 v ASO Chlef U21, Favorite: ,JSM Bejaia U21, 8036614   size:84.62,Price: ,1.13,ASO Chlef U21, 8249573   size:84.62,Price: ,1.13,The Draw, 58805   size:5.15,Price: ,2.94,ok
1.121920360, Sport: ,Tennis, Time: ,Fri Nov 20 12:30:00 CET 2015, Time: ,Fri Nov 20 12:30:00 CET 2015, Event: ,Jakupovic v Schmiedlova, Favorite: ,Kristina Schmiedlova, 9435236   size:90.51,Price: ,1.57,Dalila Jakupovic, 5690805   size:28.53,Price: ,2.14,x
1.121920364, Sport: ,Tennis, Time: ,Fri Nov 20 11:00:00 CET 2015, Time: ,Fri Nov 20 11:00:00 CET 2015, Event: ,Dinu v Muchova, Favorite: ,Cristina Dinu, 7216240   size:36.27,Price: ,1.67,Karolina Muchova, 9632758   size:16.82,Price: ,2.02,x
1.121774394, Sport: ,Soccer, Time: ,Fri Nov 20 14:00:00 CET 2015, Time: ,Fri Nov 20 14:00:00 CET 2015, Event: ,FC Ashdod v Hapoel Nazareth Illit, Favorite: ,FC Ashdod, 6145706   size:2.24,Price: ,1.72,Hapoel Nazareth Illit, 5178712   size:13.91,Price: ,4.7,The Draw, 58805   size:2.55,Price: ,3.8,x
1.121881666, Sport: ,Soccer, Time: ,Fri Nov 20 09:00:00 CET 2015, Time: ,Fri Nov 20 09:00:00 CET 2015, Event: ,Zenit St Petersburg (Y) v FK Ural (Y), Favorite: ,Zenit St Petersburg (Y), 6289889   size:4.97,Price: ,1.24,FK Ural (Y), 9045029   size:25.58,Price: ,7.0,The Draw, 58805   size:37.9,Price: ,4.7,x
1.121774320, Sport: ,Soccer, Time: ,Fri Nov 20 13:00:00 CET 2015, Time: ,Fri Nov 20 13:00:00 CET 2015, Event: ,Ironi Kiryat Gat v Hapoel Afula, Favorite: ,Hapoel Afula, 5546999   size:2.55,Price: ,1.98,Ironi Kiryat Gat, 6955790   size:2.55,Price: ,3.65,The Draw, 58805   size:3.24,Price: ,3.45,ok
1.121882111, Sport: ,Soccer, Time: ,Fri Nov 20 11:00:00 CET 2015, Time: ,Fri Nov 20 11:00:00 CET 2015, Event: ,Dinamo Kiev U19 v FK H-Z Uzh. U19, Favorite: ,Dinamo Kiev U19, 10262035   size:10.0,Price: ,1.13,FK H-Z Uzh. U19, 6579711   size:10.0,Price: ,5.8,The Draw, 58805   size:10.21,Price: ,4.8,ok
1.121773350, Sport: ,Soccer, Time: ,Fri Nov 20 11:30:00 CET 2015, Time: ,Fri Nov 20 11:30:00 CET 2015, Event: ,Sporting Goa U20 v Vasco SC India U20, Favorite: ,Sporting Goa U20, 10341255   size:10.0,Price: ,1.12,Vasco SC India U20, 10389597   size:10.0,Price: ,1.12,The Draw, 58805   size:5.0,Price: ,2.9,x
1.121881556, Sport: ,Soccer, Time: ,Fri Nov 20 10:00:00 CET 2015, Time: ,Fri Nov 20 10:00:00 CET 2015, Event: ,CSKA Moscow (Y) v Krylya Sovetov (Y), Favorite: ,CSKA Moscow (Y), 5386432   size:40.0,Price: ,1.19,Krylya Sovetov (Y), 9989505   size:25.02,Price: ,7.0,The Draw, 58805   size:38.73,Price: ,4.6,ok
1.121880986, Sport: ,Soccer, Time: ,Fri Nov 20 13:00:00 CET 2015, Time: ,Fri Nov 20 13:00:00 CET 2015, Event: ,ACS Bucovina Radauti v SCM Petrotub Roman, Favorite: ,ACS Bucovina Radauti, 7209909   size:10.0,Price: ,1.12,SCM Petrotub Roman, 7273709   size:10.0,Price: ,1.12,The Draw, 58805   size:9.97,Price: ,2.88,x
1.121908023, Sport: ,Tennis, Time: ,Fri Nov 20 10:00:00 CET 2015, Time: ,Fri Nov 20 10:00:00 CET 2015, Event: ,Voegele v Babos, Favorite: ,Timea Babos, 4828174   size:45.1,Price: ,1.85,Stefanie Voegele, 3622149   size:5.0,Price: ,2.12,ok
1.121800014, Sport: ,Soccer, Time: ,Fri Nov 20 12:30:00 CET 2015, Time: ,Fri Nov 20 12:30:00 CET 2015, Event: ,Albirex Niigata v Hougang Utd, Favorite: ,Albirex Niigata, 5712145   size:11.78,Price: ,1.57,Hougang Utd, 5339978   size:10.57,Price: ,4.5,The Draw, 58805   size:2.55,Price: ,4.3,ok
1.121774616, Sport: ,Soccer, Time: ,Fri Nov 20 13:00:00 CET 2015, Time: ,Fri Nov 20 13:00:00 CET 2015, Event: ,Maccabi Yavne v Hapoel Ashkelon, Favorite: ,Maccabi Yavne, 5415484   size:3.53,Price: ,2.3,Hapoel Ashkelon, 5221516   size:10.95,Price: ,2.92,The Draw, 58805   size:2.55,Price: ,3.45,x
1.121881159, Sport: ,Soccer, Time: ,Fri Nov 20 13:00:00 CET 2015, Time: ,Fri Nov 20 13:00:00 CET 2015, Event: ,CS Aerostar Bacau v AFC Metalosport Galati, Favorite: ,CS Aerostar Bacau, 7209911   size:10.0,Price: ,1.12,AFC Metalosport Galati, 8822940   size:10.0,Price: ,1.12,The Draw, 58805   size:9.97,Price: ,2.88,x
1.121882401, Sport: ,Basketball, Time: ,Fri Nov 20 12:00:00 CET 2015, Time: ,Fri Nov 20 12:00:00 CET 2015, Event: ,Talk N Text v NLEX Road Warriors, Favorite: ,Talk N Text, 4425512   size:7.57,Price: ,1.3,NLEX Road Warriors, 8911710   size:26.89,Price: ,3.65,x
1.121910622, Sport: ,Tennis, Time: ,Fri Nov 20 11:00:00 CET 2015, Time: ,Fri Nov 20 11:00:00 CET 2015, Event: ,Zidansek v Buzarnescu, Favorite: ,Tamara Zidansek, 9631543   size:18.43,Price: ,1.48,Mihaela Buzarnescu, 5776800   size:12.5,Price: ,2.36,x
1.121879876, Sport: ,Soccer, Time: ,Fri Nov 20 08:30:00 CET 2015, Time: ,Fri Nov 20 08:30:00 CET 2015, Event: ,RCF v GM Sports, Favorite: ,RCF, 8496715   size:5.0,Price: ,1.26,GM Sports, 8978864   size:5.0,Price: ,3.75,The Draw, 58805   size:5.21,Price: ,3.85,x
1.121875880, Sport: ,Basketball, Time: ,Fri Nov 20 02:15:00 CET 2015, Time: ,Fri Nov 20 02:15:00 CET 2015, Event: ,Milwaukee @ Cleveland, Favorite: ,Cleveland, 13112   size:6624.99,Price: ,1.08,Milwaukee, 13115   size:25.0,Price: ,11.0,ok
1.121774468, Sport: ,Soccer, Time: ,Fri Nov 20 13:30:00 CET 2015, Time: ,Fri Nov 20 13:30:00 CET 2015, Event: ,Hapoel Bnei Lod v Hapoel Jerusalem, Favorite: ,Hapoel Bnei Lod, 5337940   size:4.87,Price: ,1.6,Hapoel Jerusalem, 5810348   size:10.0,Price: ,5.7,The Draw, 58805   size:3.13,Price: ,3.85,x
