1.122725595, Sport: ,Soccer, Time: ,Sun Jan 24 12:00:00 CET 2016, Time: ,Sun Jan 24 12:00:00 CET 2016, Event: ,CP Villarrobledo v CD Azuqueca, Favorite: ,The Draw, 58805   size:11.1,Price: ,1.05,CP Villarrobledo, 9414421   size:9.25,Price: ,1.06,CD Azuqueca, 7313485   size:9.25,Price: ,1.06
1.122722283, Sport: ,Soccer, Time: ,Sun Jan 24 12:15:00 CET 2016, Time: ,Sun Jan 24 12:15:00 CET 2016, Event: ,Maardu v FC Elva, Favorite: ,Maardu, 5869635   size:13.88,Price: ,1.04,FC Elva, 7236799   size:13.88,Price: ,1.04,The Draw, 58805   size:9.25,Price: ,1.06
1.122725575, Sport: ,Soccer, Time: ,Sun Jan 24 12:15:00 CET 2016, Time: ,Sun Jan 24 12:15:00 CET 2016, Event: ,CD Villegas v CD Varea, Favorite: ,The Draw, 58805   size:24.21,Price: ,1.03,CD Villegas, 8889596   size:9.25,Price: ,1.06,CD Varea, 7237061   size:9.25,Price: ,1.06
1.122724430, Sport: ,Soccer, Time: ,Sun Jan 24 13:00:00 CET 2016, Time: ,Sun Jan 24 13:00:00 CET 2016, Event: ,Hammarby v KuPS, Favorite: ,Hammarby, 30679   size:6.0,Price: ,1.16,KuPS, 139510   size:6.0,Price: ,2.18,The Draw, 58805   size:15.0,Price: ,2.08
1.122725561, Sport: ,Soccer, Time: ,Sun Jan 24 13:00:00 CET 2016, Time: ,Sun Jan 24 13:00:00 CET 2016, Event: ,CD Marino v UD Telde, Favorite: ,UD Telde, 7544056   size:66.02,Price: ,1.94,CD Marino, 6603992   size:29.34,Price: ,3.25,The Draw, 58805   size:30.0,Price: ,3.2
1.122724210, Sport: ,Soccer, Time: ,Sun Jan 24 13:30:00 CET 2016, Time: ,Sun Jan 24 13:30:00 CET 2016, Event: ,CFR Cluj v Tomsk, Favorite: ,CFR Cluj, 1193695   size:13.88,Price: ,1.04,Tomsk, 1090112   size:13.88,Price: ,1.04,The Draw, 58805   size:9.25,Price: ,1.06
1.122722448, Sport: ,Soccer, Time: ,Sun Jan 24 14:00:00 CET 2016, Time: ,Sun Jan 24 14:00:00 CET 2016, Event: ,Flora Tallinn II v Kuressaare, Favorite: ,Flora Tallinn II, 5412351   size:13.88,Price: ,1.04,Kuressaare, 5407305   size:13.88,Price: ,1.04,The Draw, 58805   size:13.88,Price: ,1.04
1.122724375, Sport: ,Soccer, Time: ,Sun Jan 24 14:00:00 CET 2016, Time: ,Sun Jan 24 14:00:00 CET 2016, Event: ,Viktoria Koln v Saarbrucken, Favorite: ,Viktoria Koln, 6542379   size:13.88,Price: ,1.04,Saarbrucken, 110687   size:13.88,Price: ,1.04,The Draw, 58805   size:13.88,Price: ,1.04
1.122724320, Sport: ,Soccer, Time: ,Sun Jan 24 14:30:00 CET 2016, Time: ,Sun Jan 24 14:30:00 CET 2016, Event: ,RB Leipzig v Thun, Favorite: ,RB Leipzig, 5340398   size:13.88,Price: ,1.04,Thun, 176184   size:13.88,Price: ,1.04,The Draw, 58805   size:2.64,Price: ,1.25
1.122724155, Sport: ,Soccer, Time: ,Sun Jan 24 15:00:00 CET 2016, Time: ,Sun Jan 24 15:00:00 CET 2016, Event: ,Ivory Coast A v Gabon A, Favorite: ,Ivory Coast A, 10723318   size:18.0,Price: ,1.15,Gabon A, 8187720   size:18.0,Price: ,1.16,The Draw, 58805   size:18.0,Price: ,1.16
