1.121119140, Sport: ,Soccer, Time: ,Sat Oct 10 14:00:00 CEST 2015, Time: ,Sat Oct 10 14:00:00 CEST 2015, Event: ,KPV v Honka, Favorite: ,Honka, 396722   size:13.0,Price: ,1.95,KPV, 1130626   size:3.23,Price: ,2.7,The Draw, 58805   size:2.06,Price: ,3.25,x
1.121142263, Sport: ,Handball, Time: ,Sat Oct 10 19:00:00 CEST 2015, Time: ,Sat Oct 10 19:00:00 CEST 2015, Event: ,Porto v Chekhovskie Medvedi, Favorite: ,Porto, 6648275   size:5.09,Price: ,1.21,Chekhovskie Medvedi, 4212169   size:68.46,Price: ,5.6,Draw, 330157   size:39.78,Price: ,9.6,ok
1.121017791, Sport: ,Soccer, Time: ,Sat Oct 10 15:00:00 CEST 2015, Time: ,Sat Oct 10 15:00:00 CEST 2015, Event: ,Traeff v Nardo FK, Favorite: ,Nardo FK, 6307506   size:2.55,Price: ,1.99,Traeff, 5521795   size:2.12,Price: ,2.9,The Draw, 58805   size:10.49,Price: ,4.0,x
1.121173753, Sport: ,Tennis, Time: ,Sat Oct 10 15:30:00 CEST 2015, Time: ,Sat Oct 10 15:30:00 CEST 2015, Event: ,N Broady v Karatantcheva, Favorite: ,Naomi Broady, 3960538   size:2.8,Price: ,1.51,Sesil Karatantcheva, 2893738   size:2.13,Price: ,2.7,x
1.121012872, Sport: ,Soccer, Time: ,Sat Oct 10 14:30:00 CEST 2015, Time: ,Sat Oct 10 14:30:00 CEST 2015, Event: ,Czech Rep U19 v Estonia U19, Favorite: ,Czech Rep U19, 459517   size:2.62,Price: ,1.21,Estonia U19, 2099677   size:2.22,Price: ,11.5,The Draw, 58805   size:39.73,Price: ,5.8,ok
1.121011783, Sport: ,Soccer, Time: ,Sat Oct 10 18:00:00 CEST 2015, Time: ,Sat Oct 10 18:00:00 CEST 2015, Event: ,Tenerife v Leganes, Favorite: ,Tenerife, 44509   size:3.25,Price: ,2.48,Leganes, 309109   size:17.45,Price: ,3.3,The Draw, 58805   size:40.91,Price: ,3.2,x
1.121187918, Sport: ,Tennis, Time: ,Sat Oct 10 18:00:00 CEST 2015, Time: ,Sat Oct 10 18:00:00 CEST 2015, Event: ,P Lorenzi v Lama, Favorite: ,Paolo Lorenzi, 2345099   size:4.17,Price: ,1.2,Gonzalo Lama, 7032057   size:8.72,Price: ,4.9,ok
1.121133180, Sport: ,Handball, Time: ,Sat Oct 10 19:00:00 CEST 2015, Time: ,Sat Oct 10 19:00:00 CEST 2015, Event: ,Eisenach v Wetzlar, Favorite: ,Wetzlar, 2507302   size:4.11,Price: ,1.5,Eisenach, 5833106   size:2.61,Price: ,3.85,Draw, 330157   size:4.18,Price: ,10.0,ok
1.121011428, Sport: ,Soccer, Time: ,Sat Oct 10 16:00:00 CEST 2015, Time: ,Sat Oct 10 16:00:00 CEST 2015, Event: ,Vlasim v MAS Taborsko, Favorite: ,MAS Taborsko, 6998410   size:12.27,Price: ,2.2,Vlasim, 5866799   size:4.09,Price: ,3.2,The Draw, 58805   size:4.77,Price: ,3.3,x
1.121134152, Sport: ,Basketball, Time: ,Sat Oct 10 18:00:00 CEST 2015, Time: ,Sat Oct 10 18:00:00 CEST 2015, Event: ,Jezioro Tarnobrzeg v Slask Wroclaw, Favorite: ,Slask Wroclaw, 272970   size:2.55,Price: ,1.23,Jezioro Tarnobrzeg, 6703616   size:2.55,Price: ,4.6,x
1.121133183, Sport: ,Handball, Time: ,Sat Oct 10 19:00:00 CEST 2015, Time: ,Sat Oct 10 19:00:00 CEST 2015, Event: ,N Lubbecke v Melsungen, Favorite: ,Melsungen, 2507299   size:4.4,Price: ,1.4,N Lubbecke, 4196313   size:8.12,Price: ,3.7,Draw, 330157   size:45.03,Price: ,8.6,ok
1.121187803, Sport: ,Tennis, Time: ,Sat Oct 10 12:00:00 CEST 2015, Time: ,Sat Oct 10 12:00:00 CEST 2015, Event: ,Hirs v Tifnouti, Favorite: ,Taha Tifnouti, 8842926   size:3.52,Price: ,1.75,Simohamed Hirs, 8859091   size:3.34,Price: ,1.84,ok
1.121010458, Sport: ,Soccer, Time: ,Sat Oct 10 16:00:00 CEST 2015, Time: ,Sat Oct 10 16:00:00 CEST 2015, Event: ,North Ferriby Utd v Nuneaton, Favorite: ,North Ferriby Utd, 3168552   size:26.95,Price: ,2.6,Nuneaton, 228536   size:7.95,Price: ,2.84,The Draw, 58805   size:6.33,Price: ,3.55,ok
