1.121965908, Sport: ,Handball, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Montpellier v Pick Szeged, Favorite: ,Draw, 330157   size:18.0,Price: ,1.29,Montpellier, 3379953   size:15.3,Price: ,1.94,Pick Szeged, 2836305   size:6.51,Price: ,2.36,ok
1.121970137, Sport: ,American Football, Time: ,Sat Nov 28 20:30:00 CET 2015, Time: ,Sat Nov 28 20:30:00 CET 2015, Event: ,Colorado @ Utah, Favorite: ,Colorado, 998003   size:2.83,Price: ,1.03,Utah, 532780   size:2.83,Price: ,1.03,x
1.122067354, Sport: ,Soccer, Time: ,Sun Nov 29 18:00:00 CET 2015, Time: ,Sun Nov 29 18:00:00 CET 2015, Event: ,Universidad San Carlos v Antigua GFC, Favorite: ,Universidad San Carlos, 9216454   size:6.29,Price: ,1.06,Antigua GFC, 8727831   size:6.29,Price: ,1.06,The Draw, 58805   size:33.69,Price: ,1.26,x
1.122065176, Sport: ,Soccer, Time: ,Sun Nov 29 11:00:00 CET 2015, Time: ,Sun Nov 29 11:00:00 CET 2015, Event: ,FC Saburtalo Tbilisi v Dila Gori, Favorite: ,FC Saburtalo Tbilisi, 7644645   size:5.08,Price: ,1.05,Dila Gori, 6511598   size:5.08,Price: ,1.05,The Draw, 58805   size:14.19,Price: ,3.1,x
1.122059739, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,CD San Roque de Cadiz v CMD San Juan, Favorite: ,CD San Roque de Cadiz, 7717173   size:5.08,Price: ,1.05,CMD San Juan, 8390549   size:5.08,Price: ,1.05,The Draw, 58805   size:14.19,Price: ,3.1,x
1.121902686, Sport: ,Soccer, Time: ,Sat Nov 28 20:00:00 CET 2015, Time: ,Sat Nov 28 20:00:00 CET 2015, Event: ,Toulouse v Nice, Favorite: ,Toulouse, 305969   size:2060.97,Price: ,1.23,Nice, 189829   size:2.83,Price: ,25.0,The Draw, 58805   size:2.83,Price: ,6.4,ok
1.121983975, Sport: ,Soccer, Time: ,Sun Nov 29 11:00:00 CET 2015, Time: ,Sun Nov 29 11:00:00 CET 2015, Event: ,Yenisey Krasnoyarsk v Fakel, Favorite: ,Fakel, 5441579   size:2.55,Price: ,1.92,Yenisey Krasnoyarsk, 5441577   size:14.99,Price: ,3.95,The Draw, 58805   size:2.55,Price: ,3.45,x
1.122061927, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Urraca CF v Club Siero, Favorite: ,Urraca CF, 7229861   size:5.38,Price: ,1.07,Club Siero, 10298281   size:5.38,Price: ,1.07,The Draw, 58805   size:2.83,Price: ,1.25,x
1.121921081, Sport: ,Soccer, Time: ,Sun Nov 29 17:30:00 CET 2015, Time: ,Sun Nov 29 17:30:00 CET 2015, Event: ,Samsunspor v Giresunspor, Favorite: ,Samsunspor, 113124   size:2.55,Price: ,2.0,Giresunspor, 1341524   size:2.29,Price: ,3.8,The Draw, 58805   size:2.55,Price: ,3.6,x
1.121897041, Sport: ,Soccer, Time: ,Sat Nov 28 20:30:00 CET 2015, Time: ,Sat Nov 28 20:30:00 CET 2015, Event: ,Malaga v Granada, Favorite: ,Malaga, 13360   size:858.32,Price: ,1.98,Granada, 2255452   size:165.99,Price: ,5.9,The Draw, 58805   size:262.49,Price: ,3.0,x
