1.121604102, Sport: ,Tennis, Time: ,Sat Oct 31 22:05:00 CET 2015, Time: ,Sat Oct 31 22:05:00 CET 2015, Event: ,Smethurst v Bragusi, Favorite: ,Daniel Smethurst, 7364223   size:306.83,Price: ,1.01,Darius Florin Bragusi, 9623498   size:90.84,Price: ,4.1,ok
1.121504293, Sport: ,Soccer, Time: ,Sat Oct 31 22:30:00 CET 2015, Time: ,Sat Oct 31 22:30:00 CET 2015, Event: ,OHiggins v Antofagasta, Favorite: ,OHiggins, 5129871   size:1323.34,Price: ,1.58,Antofagasta, 6105741   size:24.24,Price: ,7.0,The Draw, 58805   size:13.28,Price: ,4.2,x
1.121604347, Sport: ,Tennis, Time: ,Sun Nov 01 06:45:00 CET 2015, Time: ,Sun Nov 01 06:45:00 CET 2015, Event: ,R Ghedin v Burapharitta, Favorite: ,Riccardo Ghedin, 3506053   size:3.63,Price: ,1.08,Phassawit Burapharitta, 8796341   size:2.55,Price: ,1.26,ok
1.121595941, Sport: ,Soccer, Time: ,Sun Nov 01 05:00:00 CET 2015, Time: ,Sun Nov 01 05:00:00 CET 2015, Event: ,Tochigi UVA FC v Honda Lock SC, Favorite: ,Honda Lock SC, 7441164   size:2.55,Price: ,2.2,Tochigi UVA FC, 9514211   size:5.9,Price: ,2.9,The Draw, 58805   size:5.9,Price: ,2.74,ok
1.121421043, Sport: ,Soccer, Time: ,Sun Nov 01 00:00:00 CET 2015, Time: ,Sun Nov 01 00:00:00 CET 2015, Event: ,Coritiba v Figueirense, Favorite: ,Coritiba, 198141   size:44.88,Price: ,2.18,Figueirense, 198125   size:32.48,Price: ,4.0,The Draw, 58805   size:310.03,Price: ,3.3,x
1.121447268, Sport: ,Soccer, Time: ,Sun Nov 01 05:00:00 CET 2015, Time: ,Sun Nov 01 05:00:00 CET 2015, Event: ,Oita v Kanazawa, Favorite: ,Oita, 441089   size:33.31,Price: ,1.99,Kanazawa, 9280258   size:84.62,Price: ,4.3,The Draw, 58805   size:14.61,Price: ,3.5,x
1.121529206, Sport: ,Basketball, Time: ,Sun Nov 01 03:05:00 CET 2015, Time: ,Sun Nov 01 03:05:00 CET 2015, Event: ,Phoenix @ Portland, Favorite: ,Portland, 13129   size:103.0,Price: ,1.7,Phoenix, 13128   size:8.0,Price: ,2.36,x
1.121492710, Sport: ,Soccer, Time: ,Sun Nov 01 02:00:00 CET 2015, Time: ,Sun Nov 01 02:00:00 CET 2015, Event: ,Celaya v FC Juarez, Favorite: ,Celaya, 5901260   size:2.55,Price: ,2.78,FC Juarez, 10002706   size:2.55,Price: ,2.82,The Draw, 58805   size:20.91,Price: ,3.2,x
1.121564371, Sport: ,Basketball, Time: ,Sun Nov 01 00:05:00 CET 2015, Time: ,Sun Nov 01 00:05:00 CET 2015, Event: ,Utah @ Indiana, Favorite: ,Indiana, 13116   size:608.09,Price: ,1.64,Utah, 13119   size:30.14,Price: ,2.52,x
1.121502645, Sport: ,Soccer, Time: ,Sun Nov 01 00:30:00 CET 2015, Time: ,Sun Nov 01 00:30:00 CET 2015, Event: ,Racing Club v Crucero del Norte, Favorite: ,Racing Club, 198558   size:1287.89,Price: ,1.21,Crucero del Norte, 6471163   size:176.97,Price: ,22.0,The Draw, 58805   size:64.41,Price: ,7.2,ok
1.121528998, Sport: ,Basketball, Time: ,Sun Nov 01 00:00:00 CET 2015, Time: ,Sun Nov 01 00:00:00 CET 2015, Event: ,Atenas v Quimsa, Favorite: ,Quimsa, 6243645   size:119.65,Price: ,1.8,Atenas, 6719082   size:111.58,Price: ,1.86,ok
1.121569095, Sport: ,Soccer, Time: ,Sat Oct 31 22:00:00 CET 2015, Time: ,Sat Oct 31 22:00:00 CET 2015, Event: ,Imbabura SC v Deportivo Azogues, Favorite: ,Imbabura SC, 8420043   size:120.88,Price: ,1.25,Deportivo Azogues, 7560951   size:17.74,Price: ,16.5,The Draw, 58805   size:41.59,Price: ,5.7,x
