1.122580062, Sport: ,Soccer, Time: ,Fri Jan 15 16:00:00 CET 2016, Time: ,Fri Jan 15 16:00:00 CET 2016, Event: ,MC Oran v ES Setif, Favorite: ,MC Oran, 8306133   size:5.09,Price: ,1.82,ES Setif, 5201569   size:22.87,Price: ,4.0,The Draw, 58805   size:20.99,Price: ,3.15,x
1.122566058, Sport: ,Snooker, Time: ,Thu Jan 14 20:00:00 CET 2016, Time: ,Thu Jan 14 20:00:00 CET 2016, Event: ,Allen v Hawkins, Favorite: ,Mark Allen, 2279947   size:2579.59,Price: ,1.68,Barry Hawkins, 2278801   size:338.87,Price: ,2.44,x
1.122558564, Sport: ,Ice Hockey, Time: ,Thu Jan 14 18:00:00 CET 2016, Time: ,Thu Jan 14 18:00:00 CET 2016, Event: ,Lillehammer IK v Stavanger Oilers, Favorite: ,Lillehammer IK, 4138388   size:2.65,Price: ,1.03,Stavanger Oilers, 4536133   size:2.65,Price: ,1.03,Tie, 60104   size:2.65,Price: ,1.03,x
1.122583451, Sport: ,Tennis, Time: ,Fri Jan 15 16:00:00 CET 2016, Time: ,Fri Jan 15 16:00:00 CET 2016, Event: ,Kicker v Hamou, Favorite: ,Nicolas Kicker, 8326744   size:2.55,Price: ,1.83,Maxime Hamou, 8859456   size:38.18,Price: ,1.96,ok
1.122570949, Sport: ,Ice Hockey, Time: ,Fri Jan 15 17:30:00 CET 2016, Time: ,Fri Jan 15 17:30:00 CET 2016, Event: ,Kookoo Kouvola v Kalpa Hockey, Favorite: ,Kalpa Hockey, 4245254   size:93.0,Price: ,2.06,KooKoo Kouvola, 10653585   size:19.0,Price: ,3.2,Tie, 60104   size:103.0,Price: ,4.2,x
1.122581434, Sport: ,Soccer, Time: ,Fri Jan 15 13:30:00 CET 2016, Time: ,Fri Jan 15 13:30:00 CET 2016, Event: ,Achi Akko v MS Tzeirey Kfar Kana, Favorite: ,Achi Akko, 6119899   size:3.68,Price: ,1.15,MS Tzeirey Kfar Kana, 10601457   size:3.68,Price: ,1.15,The Draw, 58805   size:2.57,Price: ,2.9,x
1.122571082, Sport: ,Ice Hockey, Time: ,Fri Jan 15 17:30:00 CET 2016, Time: ,Fri Jan 15 17:30:00 CET 2016, Event: ,HC Spartak Moscow v Admiral Vladivostok, Favorite: ,HC Spartak Moscow, 10698101   size:5.67,Price: ,2.28,Admiral Vladivostok, 7597243   size:4.9,Price: ,2.46,Tie, 60104   size:11.05,Price: ,4.0,x
1.122583459, Sport: ,Tennis, Time: ,Fri Jan 15 16:00:00 CET 2016, Time: ,Fri Jan 15 16:00:00 CET 2016, Event: ,G Melzer v Dutra Silva, Favorite: ,Gerald Melzer, 4876705   size:6.1,Price: ,1.73,Rogerio Dutra Silva, 2301068   size:94.79,Price: ,2.06,x
1.122467782, Sport: ,Basketball, Time: ,Fri Jan 15 03:00:00 CET 2016, Time: ,Fri Jan 15 03:00:00 CET 2016, Event: ,Pittsburgh @ Louisville, Favorite: ,Louisville, 332190   size:3.51,Price: ,1.31,Pittsburgh, 284246   size:7.17,Price: ,3.55,ok
1.122547388, Sport: ,Cricket, Time: ,Fri Jan 15 14:00:00 CET 2016, Time: ,Fri Jan 15 14:00:00 CET 2016, Event: ,Leeward Islands v Guyana, Favorite: ,Leeward Islands, 4859354   size:663.5,Price: ,1.04,Guyana, 2009654   size:663.5,Price: ,1.04,x
