1.121888240, Sport: ,Soccer, Time: ,Sun Nov 29 16:00:00 CET 2015, Time: ,Sun Nov 29 16:00:00 CET 2015, Event: ,Hayes And Yeading v Eastbourne, Favorite: ,Hayes and Yeading, 2439370   size:30.01,Price: ,2.38,Eastbourne, 1034120   size:2.55,Price: ,3.05,The Draw, 58805   size:2.55,Price: ,3.6,x
1.121921056, Sport: ,Soccer, Time: ,Sun Nov 29 14:00:00 CET 2015, Time: ,Sun Nov 29 14:00:00 CET 2015, Event: ,TSV Schilksee v Hamburg II, Favorite: ,Hamburg II, 5375314   size:6.56,Price: ,1.49,TSV Schilksee, 9461156   size:4.82,Price: ,6.4,The Draw, 58805   size:2.55,Price: ,4.5,x
1.122039909, Sport: ,Snooker, Time: ,Sun Nov 29 14:00:00 CET 2015, Time: ,Sun Nov 29 14:00:00 CET 2015, Event: ,Dechawat Poomjaeng v ryan Day, Favorite: ,Ryan Day, 2278798   size:39.97,Price: ,1.42,Dechawat Poomjaeng, 5722690   size:7.48,Price: ,3.2,x
1.122060603, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,Coria CF v CD Utrera, Favorite: ,Coria CF, 6450526   size:5.0,Price: ,2.02,CD Utrera, 10185250   size:9.35,Price: ,2.82,The Draw, 58805   size:15.2,Price: ,3.1,x
1.121985860, Sport: ,Basketball, Time: ,Sun Nov 29 13:00:00 CET 2015, Time: ,Sun Nov 29 13:00:00 CET 2015, Event: ,Xinjiang v Shandong, Favorite: ,Xinjiang, 8926908   size:402.74,Price: ,1.07,Shandong, 8926903   size:9.83,Price: ,5.7,ok
1.121911165, Sport: ,Handball, Time: ,Sun Nov 29 15:55:00 CET 2015, Time: ,Sun Nov 29 15:55:00 CET 2015, Event: ,Netherlands (W) v Russia (W), Favorite: ,Netherlands (W), 6497928   size:2.83,Price: ,1.03,Russia (W), 6257694   size:2.83,Price: ,1.03,Draw, 330157   size:2.83,Price: ,1.03,x
1.121856988, Sport: ,American Football, Time: ,Sun Nov 29 19:00:00 CET 2015, Time: ,Sun Nov 29 19:00:00 CET 2015, Event: ,New Orleans @ Houston, Favorite: ,Houston Texans, 179823   size:267.0,Price: ,1.62,New Orleans Saints, 50196   size:360.13,Price: ,2.5,ok
1.122058640, Sport: ,Soccer, Time: ,Sun Nov 29 11:30:00 CET 2015, Time: ,Sun Nov 29 11:30:00 CET 2015, Event: ,ACD San Marcial v Pena Balsamaiso CF, Favorite: ,ACD San Marcial, 8344332   size:3.61,Price: ,1.93,Pena Balsamaiso CF, 8826852   size:6.28,Price: ,3.55,The Draw, 58805   size:6.37,Price: ,3.3,ok
1.122059610, Sport: ,Soccer, Time: ,Sun Nov 29 18:00:00 CET 2015, Time: ,Sun Nov 29 18:00:00 CET 2015, Event: ,CD Palencia v CD Burgos Promesas, Favorite: ,CD Palencia, 9282890   size:5.38,Price: ,1.07,CD Burgos Promesas, 10293071   size:5.38,Price: ,1.07,The Draw, 58805   size:14.19,Price: ,3.0,x
1.122067354, Sport: ,Soccer, Time: ,Sun Nov 29 18:00:00 CET 2015, Time: ,Sun Nov 29 18:00:00 CET 2015, Event: ,Universidad San Carlos v Antigua GFC, Favorite: ,Universidad San Carlos, 9216454   size:6.29,Price: ,1.06,Antigua GFC, 8727831   size:6.29,Price: ,1.06,The Draw, 58805   size:14.19,Price: ,3.0,x
1.122065176, Sport: ,Soccer, Time: ,Sun Nov 29 11:00:00 CET 2015, Time: ,Sun Nov 29 11:00:00 CET 2015, Event: ,FC Saburtalo Tbilisi v Dila Gori, Favorite: ,FC Saburtalo Tbilisi, 7644645   size:5.08,Price: ,1.05,Dila Gori, 6511598   size:5.08,Price: ,1.05,The Draw, 58805   size:5.0,Price: ,3.15,x
1.122058407, Sport: ,Basketball, Time: ,Sun Nov 29 20:00:00 CET 2015, Time: ,Sun Nov 29 20:00:00 CET 2015, Event: ,Start Lublin v Energa Czarni Slupsk, Favorite: ,Energa Czarni Slupsk, 2125689   size:6.13,Price: ,1.28,Start Lublin, 8832728   size:16.69,Price: ,4.3,ok
1.122059739, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,CD San Roque de Cadiz v CMD San Juan, Favorite: ,CD San Roque de Cadiz, 7717173   size:2.12,Price: ,1.63,CMD San Juan, 8390549   size:5.81,Price: ,4.2,The Draw, 58805   size:10.11,Price: ,3.2,x
1.121983975, Sport: ,Soccer, Time: ,Sun Nov 29 11:00:00 CET 2015, Time: ,Sun Nov 29 11:00:00 CET 2015, Event: ,Yenisey Krasnoyarsk v Fakel, Favorite: ,Fakel, 5441579   size:11.08,Price: ,2.08,Yenisey Krasnoyarsk, 5441577   size:3.38,Price: ,4.1,The Draw, 58805   size:2.31,Price: ,3.4,x
1.121989035, Sport: ,Basketball, Time: ,Mon Nov 30 00:00:00 CET 2015, Time: ,Mon Nov 30 00:00:00 CET 2015, Event: ,Detroit @ Brooklyn, Favorite: ,Detroit, 13111   size:3.39,Price: ,1.5,Brooklyn, 6758557   size:3.94,Price: ,2.48,x
1.122061927, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Urraca CF v Club Siero, Favorite: ,Urraca CF, 7229861   size:5.38,Price: ,1.07,Club Siero, 10298281   size:5.38,Price: ,1.07,The Draw, 58805   size:14.19,Price: ,3.0,x
1.121921081, Sport: ,Soccer, Time: ,Sun Nov 29 17:30:00 CET 2015, Time: ,Sun Nov 29 17:30:00 CET 2015, Event: ,Samsunspor v Giresunspor, Favorite: ,Samsunspor, 113124   size:15.18,Price: ,2.04,Giresunspor, 1341524   size:85.0,Price: ,3.85,The Draw, 58805   size:3.05,Price: ,3.6,x
1.121856974, Sport: ,American Football, Time: ,Sun Nov 29 19:00:00 CET 2015, Time: ,Sun Nov 29 19:00:00 CET 2015, Event: ,New York Giants @ Washington, Favorite: ,New York Giants, 50185   size:338.0,Price: ,1.8,Washington Redskins, 50187   size:100.55,Price: ,2.22,x
1.121935028, Sport: ,Soccer, Time: ,Sun Nov 29 20:00:00 CET 2015, Time: ,Sun Nov 29 20:00:00 CET 2015, Event: ,Sport Recife v Corinthians, Favorite: ,Sport Recife, 2405306   size:6.58,Price: ,2.52,Corinthians, 198136   size:6.48,Price: ,3.1,The Draw, 58805   size:207.5,Price: ,3.4,ok
1.121985803, Sport: ,Soccer, Time: ,Sun Nov 29 18:00:00 CET 2015, Time: ,Sun Nov 29 18:00:00 CET 2015, Event: ,Hercules v Pobla de Mafumet CF, Favorite: ,Hercules, 248015   size:182.46,Price: ,1.55,Pobla de Mafumet CF, 9359728   size:2.82,Price: ,8.0,The Draw, 58805   size:2.55,Price: ,4.1,x
1.122065045, Sport: ,Soccer, Time: ,Sun Nov 29 13:00:00 CET 2015, Time: ,Sun Nov 29 13:00:00 CET 2015, Event: ,Dobrudzha v PFC Litex Lovech II, Favorite: ,Dobrudzha, 5112592   size:5.08,Price: ,1.05,PFC Litex Lovech II, 10268751   size:5.08,Price: ,1.05,The Draw, 58805   size:14.19,Price: ,3.1,ok
1.122065287, Sport: ,Soccer, Time: ,Sun Nov 29 13:00:00 CET 2015, Time: ,Sun Nov 29 13:00:00 CET 2015, Event: ,FC Vysocina Jihlava U19 v FK Pribram U19, Favorite: ,FK Pribram U19, 7451165   size:3.42,Price: ,1.84,FC Vysocina Jihlava U19, 6582670   size:2.23,Price: ,2.82,The Draw, 58805   size:47.92,Price: ,3.7,x
