1.120978832, Sport: ,Basketball, Time: ,Wed Sep 30 02:00:00 CEST 2015, Time: ,Wed Sep 30 02:00:00 CEST 2015, Event: ,Lanus v San Lorenzo de Almagro, Favorite: ,Lanus, 6719117   size:8.28,Price: ,1.03,San Lorenzo de Almagro, 10309838   size:5.17,Price: ,1.2,x
1.120830919, Sport: ,Baseball, Time: ,Wed Sep 30 01:05:00 CEST 2015, Time: ,Wed Sep 30 01:05:00 CEST 2015, Event: ,BOS @ NYY, Favorite: ,NY Yankees (M Pineda), 8442736   size:259.04,Price: ,1.58,Boston (R Porcello), 9385112   size:341.0,Price: ,2.6,x
1.120963628, Sport: ,Tennis, Time: ,Tue Sep 29 23:30:00 CEST 2015, Time: ,Tue Sep 29 23:30:00 CEST 2015, Event: ,Perrin v Sanchez, Favorite: ,Ana Sofia Sanchez, 7082838   size:4.5,Price: ,1.84,Conny Perrin, 5596573   size:9.69,Price: ,2.08,ok
1.120963629, Sport: ,Tennis, Time: ,Wed Sep 30 02:00:00 CEST 2015, Time: ,Wed Sep 30 02:00:00 CEST 2015, Event: ,Mrdeza v Gonzalez, Favorite: ,Tereza Mrdeza, 6498921   size:6.95,Price: ,1.41,Monserrat Gonzalez, 9243694   size:4.03,Price: ,2.9,x
1.120983575, Sport: ,Soccer, Time: ,Wed Sep 30 14:00:00 CEST 2015, Time: ,Wed Sep 30 14:00:00 CEST 2015, Event: ,Crewe U21 v C Palace U21, Favorite: ,Crewe U21, 6628863   size:3.55,Price: ,1.07,C Palace U21, 6614440   size:3.55,Price: ,1.07,The Draw, 58805   size:2.69,Price: ,1.25,x
1.120947558, Sport: ,Tennis, Time: ,Tue Sep 29 21:45:00 CEST 2015, Time: ,Tue Sep 29 21:45:00 CEST 2015, Event: ,N Barrientos v E Gomez, Favorite: ,Nicolas Barrientos, 7083200   size:7.01,Price: ,1.46,Emilio Gomez, 4994250   size:9.91,Price: ,2.96,x
1.120947559, Sport: ,Tennis, Time: ,Wed Sep 30 01:00:00 CEST 2015, Time: ,Wed Sep 30 01:00:00 CEST 2015, Event: ,Struvay v Souza, Favorite: ,Joao Souza, 4490590   size:14.29,Price: ,1.44,Eduardo Struvay, 7431682   size:48.82,Price: ,2.96,ok
1.120937582, Sport: ,Soccer, Time: ,Wed Sep 30 03:00:00 CEST 2015, Time: ,Wed Sep 30 03:00:00 CEST 2015, Event: ,CD Motagua v Juticalpa, Favorite: ,CD Motagua, 2888928   size:8.22,Price: ,1.76,Juticalpa, 10160888   size:2.55,Price: ,3.75,The Draw, 58805   size:2.55,Price: ,4.4,x
1.120962541, Sport: ,Soccer, Time: ,Tue Sep 29 21:00:00 CEST 2015, Time: ,Tue Sep 29 21:00:00 CEST 2015, Event: ,Stenhousemuir U20 v Stirling U20, Favorite: ,Stenhousemuir U20, 9001453   size:133.94,Price: ,1.06,Stirling U20, 9243449   size:133.94,Price: ,1.06,The Draw, 58805   size:2.61,Price: ,3.9,x
1.120963630, Sport: ,Tennis, Time: ,Tue Sep 29 22:00:00 CEST 2015, Time: ,Tue Sep 29 22:00:00 CEST 2015, Event: ,Mertens v Gorches, Favorite: ,Elise Mertens, 9002334   size:106.7,Price: ,1.13,Constanza Gorches, 9042337   size:3.57,Price: ,7.0,ok
1.120939527, Sport: ,Tennis, Time: ,Wed Sep 30 08:45:00 CEST 2015, Time: ,Wed Sep 30 08:45:00 CEST 2015, Event: ,Cermak/Stepanek v Koolhof/Middelkoop, Favorite: ,Cermak/Stepanek, 6397301   size:3.36,Price: ,1.46,Koolhof/Middelkoop, 9146551   size:7.77,Price: ,2.18,ok
1.120939523, Sport: ,Tennis, Time: ,Wed Sep 30 09:00:00 CEST 2015, Time: ,Wed Sep 30 09:00:00 CEST 2015, Event: ,Oswald/Shamasdin v Baghdatis/Troicki, Favorite: ,Baghdatis/Troicki, 10337924   size:2.94,Price: ,1.73,Oswald/Shamasdin, 10221677   size:2.81,Price: ,1.98,x
1.120939524, Sport: ,Tennis, Time: ,Wed Sep 30 10:30:00 CEST 2015, Time: ,Wed Sep 30 10:30:00 CEST 2015, Event: ,Junaid/Marray v Dimitrov/Paes, Favorite: ,Dimitrov/Paes, 10337923   size:2.55,Price: ,1.61,Junaid/Marray, 10337922   size:2.55,Price: ,2.32,x
1.120851803, Sport: ,Soccer, Time: ,Wed Sep 30 04:00:00 CEST 2015, Time: ,Wed Sep 30 04:00:00 CEST 2015, Event: ,Veracruz v Pachuca, Favorite: ,Veracruz, 328922   size:26.51,Price: ,2.46,Pachuca, 328954   size:15.08,Price: ,3.0,The Draw, 58805   size:226.15,Price: ,3.55,x
1.120851407, Sport: ,Soccer, Time: ,Wed Sep 30 03:00:00 CEST 2015, Time: ,Wed Sep 30 03:00:00 CEST 2015, Event: ,Toluca v Tijuana, Favorite: ,Toluca, 230914   size:414.3,Price: ,1.75,Tijuana, 5687741   size:2.67,Price: ,5.4,The Draw, 58805   size:46.09,Price: ,4.1,ok
