1.122450652, Sport: ,Tennis, Time: ,Sun Jan 03 07:00:00 CET 2016, Time: ,Sun Jan 03 07:00:00 CET 2016, Event: ,Begu v Arruabarrena, Favorite: ,Irina-Camelia Begu, 7642289   size:75.26,Price: ,1.38,Lara Arruabarrena, 7137471   size:23.55,Price: ,2.74,ok
1.122409471, Sport: ,Ice Hockey, Time: ,Sun Jan 03 15:30:00 CET 2016, Time: ,Sun Jan 03 15:30:00 CET 2016, Event: ,Zlin v HC Olomouc, Favorite: ,Zlin, 563266   size:5.99,Price: ,1.84,HC Olomouc, 7213810   size:18.0,Price: ,1.87,Tie, 60104   size:52.99,Price: ,4.0,ok
1.122409591, Sport: ,Ice Hockey, Time: ,Sun Jan 03 17:30:00 CET 2016, Time: ,Sun Jan 03 17:30:00 CET 2016, Event: ,Chomutov v Karlovy Vary, Favorite: ,Karlovy Vary, 1366079   size:18.0,Price: ,1.29,Chomutov, 4645019   size:17.0,Price: ,1.37,Tie, 60104   size:52.99,Price: ,4.2,x
1.122423759, Sport: ,Soccer, Time: ,Sat Jan 02 22:00:00 CET 2016, Time: ,Sat Jan 02 22:00:00 CET 2016, Event: ,Marilia AC U20 v Vitoria Conquista U20, Favorite: ,Marilia AC U20, 9645289   size:2.55,Price: ,1.62,Vitoria Conquista U20, 10676717   size:30.23,Price: ,3.25,The Draw, 58805   size:5.99,Price: ,3.65,ok
1.122407728, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Lleida v Pobla de Mafumet CF, Favorite: ,Lleida, 911524   size:15.86,Price: ,1.59,Pobla de Mafumet CF, 9359728   size:3.26,Price: ,6.8,The Draw, 58805   size:2.53,Price: ,3.85,x
1.122407726, Sport: ,Soccer, Time: ,Sun Jan 03 11:30:00 CET 2016, Time: ,Sun Jan 03 11:30:00 CET 2016, Event: ,Levante UD II v Olot, Favorite: ,Levante UD II, 6399692   size:14.94,Price: ,2.32,Olot, 7602489   size:6.76,Price: ,3.6,The Draw, 58805   size:2.55,Price: ,3.15,x
1.122431480, Sport: ,Soccer, Time: ,Sun Jan 03 16:30:00 CET 2016, Time: ,Sun Jan 03 16:30:00 CET 2016, Event: ,CD Lagun Onak v Bermeo Futbol Taldea, Favorite: ,CD Lagun Onak, 6883554   size:115.28,Price: ,2.18,Bermeo Futbol Taldea, 7143935   size:70.12,Price: ,2.94,The Draw, 58805   size:73.92,Price: ,2.84,ok
1.122407722, Sport: ,Soccer, Time: ,Sat Jan 02 20:00:00 CET 2016, Time: ,Sat Jan 02 20:00:00 CET 2016, Event: ,Barcelona B v Olimpic Xativa, Favorite: ,Barcelona B, 3303609   size:10.47,Price: ,2.06,Olimpic Xativa, 5213879   size:39.66,Price: ,4.1,The Draw, 58805   size:25.49,Price: ,3.4,x
1.122409625, Sport: ,Darts, Time: ,Sun Jan 03 15:15:00 CET 2016, Time: ,Sun Jan 03 15:15:00 CET 2016, Event: ,Peter Sajwani v Sam Hewson, Favorite: ,Sam Hewson, 8919990   size:94.43,Price: ,1.42,Peter Sajwani, 8596524   size:5.99,Price: ,2.26,x
1.122407720, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Badalona v Eldense, Favorite: ,Badalona, 968178   size:21.7,Price: ,2.34,Eldense, 2250350   size:23.96,Price: ,3.4,The Draw, 58805   size:21.2,Price: ,3.1,x
