1.122164986, Sport: ,Ice Hockey, Time: ,Sun Dec 06 16:00:00 CET 2015, Time: ,Sun Dec 06 16:00:00 CET 2015, Event: ,Timra v Karlskoga, Favorite: ,Karlskoga, 6267380   size:9.59,Price: ,2.24,Timra, 237393   size:5.97,Price: ,2.78,Tie, 60104   size:5.97,Price: ,3.95,x
1.122048850, Sport: ,Soccer, Time: ,Sun Dec 06 17:30:00 CET 2015, Time: ,Sun Dec 06 17:30:00 CET 2015, Event: ,Cagliari v Como, Favorite: ,Cagliari, 60297   size:47.67,Price: ,1.38,Como, 60298   size:98.48,Price: ,10.5,The Draw, 58805   size:11.64,Price: ,5.3,x
1.122045462, Sport: ,Soccer, Time: ,Sun Dec 06 15:00:00 CET 2015, Time: ,Sun Dec 06 15:00:00 CET 2015, Event: ,Vysocina Jihlava v Zlin, Favorite: ,Vysocina Jihlava, 770021   size:15.06,Price: ,2.28,Zlin, 367580   size:122.74,Price: ,3.45,The Draw, 58805   size:2.94,Price: ,3.45,x
1.122173320, Sport: ,Soccer, Time: ,Sun Dec 06 10:30:00 CET 2015, Time: ,Sun Dec 06 10:30:00 CET 2015, Event: ,Mumbai v Western Railway, Favorite: ,Mumbai, 5969072   size:2.55,Price: ,1.16,Western Railway, 8411746   size:13.02,Price: ,11.5,The Draw, 58805   size:18.16,Price: ,8.2,x
1.122054290, Sport: ,Soccer, Time: ,Sun Dec 06 20:00:00 CET 2015, Time: ,Sun Dec 06 20:00:00 CET 2015, Event: ,Corinthians v Avai, Favorite: ,Corinthians, 198136   size:250.9,Price: ,1.76,Avai, 3859186   size:54.38,Price: ,5.2,The Draw, 58805   size:66.03,Price: ,3.95,x
1.122151435, Sport: ,Soccer, Time: ,Sun Dec 06 21:00:00 CET 2015, Time: ,Sun Dec 06 21:00:00 CET 2015, Event: ,Audax Italiano v Univ Catolica (Chile), Favorite: ,Univ Catolica (Chile), 7029037   size:13.8,Price: ,2.06,Audax Italiano, 2295419   size:26.93,Price: ,3.55,The Draw, 58805   size:98.87,Price: ,3.8,x
1.122171586, Sport: ,Soccer, Time: ,Sun Dec 06 14:00:00 CET 2015, Time: ,Sun Dec 06 14:00:00 CET 2015, Event: ,Panelefsiniakos v Zakinthos, Favorite: ,Zakinthos, 3435381   size:9.34,Price: ,2.04,Panelefsiniakos, 10309707   size:9.34,Price: ,2.86,The Draw, 58805   size:17.97,Price: ,3.1,x
1.122086954, Sport: ,Soccer, Time: ,Sun Dec 06 12:15:00 CET 2015, Time: ,Sun Dec 06 12:15:00 CET 2015, Event: ,Feirense v Porto B, Favorite: ,Feirense, 505957   size:32.38,Price: ,2.54,Porto B, 6563315   size:8.74,Price: ,2.94,The Draw, 58805   size:71.14,Price: ,3.4,ok
1.122160336, Sport: ,Basketball, Time: ,Sun Dec 06 08:00:00 CET 2015, Time: ,Sun Dec 06 08:00:00 CET 2015, Event: ,Purefoods Hotshots v Mahindra Enforcers, Favorite: ,Purefoods Hotshots, 9581251   size:7.1,Price: ,1.28,Mahindra Enforcers, 10425277   size:48.0,Price: ,4.1,ok
1.121970370, Sport: ,American Football, Time: ,Sun Dec 06 22:25:00 CET 2015, Time: ,Sun Dec 06 22:25:00 CET 2015, Event: ,Carolina @ New Orleans, Favorite: ,Carolina Panthers, 50198   size:320.0,Price: ,1.37,New Orleans Saints, 50196   size:102.16,Price: ,3.5,ok
1.122046668, Sport: ,Soccer, Time: ,Sun Dec 06 15:00:00 CET 2015, Time: ,Sun Dec 06 15:00:00 CET 2015, Event: ,Frosinone v Chievo, Favorite: ,Chievo, 44506   size:386.38,Price: ,2.54,Frosinone, 924268   size:108.57,Price: ,3.2,The Draw, 58805   size:3402.15,Price: ,3.3,ok
1.122174863, Sport: ,Ice Hockey, Time: ,Sun Dec 06 17:00:00 CET 2015, Time: ,Sun Dec 06 17:00:00 CET 2015, Event: ,Mountfield HK v Pardubice, Favorite: ,Mountfield HK, 7577373   size:5.97,Price: ,1.81,Pardubice, 563269   size:5.93,Price: ,3.65,Tie, 60104   size:172.68,Price: ,3.9,ok
1.122151860, Sport: ,Basketball, Time: ,Sun Dec 06 17:00:00 CET 2015, Time: ,Sun Dec 06 17:00:00 CET 2015, Event: ,Metalac v Mega Vizura, Favorite: ,Mega Vizura, 7735104   size:2.07,Price: ,1.74,Metalac, 7735981   size:2.55,Price: ,2.24,x
1.122151864, Sport: ,Basketball, Time: ,Sun Dec 06 19:00:00 CET 2015, Time: ,Sun Dec 06 19:00:00 CET 2015, Event: ,Skopje v Cedevita, Favorite: ,Cedevita, 4229279   size:2.55,Price: ,1.46,Skopje, 6702723   size:2.55,Price: ,2.84,ok
1.122174866, Sport: ,Ice Hockey, Time: ,Sun Dec 06 17:00:00 CET 2015, Time: ,Sun Dec 06 17:00:00 CET 2015, Event: ,Sparta Prague v Mlada Boleslav, Favorite: ,Mlada Boleslav, 3327988   size:381.83,Price: ,1.19,Sparta Prague, 284689   size:12.83,Price: ,1.68,Tie, 60104   size:33.06,Price: ,5.2,x
1.122174869, Sport: ,Ice Hockey, Time: ,Sun Dec 06 17:30:00 CET 2015, Time: ,Sun Dec 06 17:30:00 CET 2015, Event: ,Litvinov v Vitkovice Steel, Favorite: ,Litvinov, 563270   size:6.57,Price: ,2.32,Vitkovice Steel, 2878390   size:5.97,Price: ,2.48,Tie, 60104   size:119.68,Price: ,3.9,ok
1.122151967, Sport: ,Basketball, Time: ,Sun Dec 06 19:00:00 CET 2015, Time: ,Sun Dec 06 19:00:00 CET 2015, Event: ,Venezia v Cantu, Favorite: ,Venezia, 5878119   size:2.55,Price: ,1.26,Cantu, 276214   size:2.55,Price: ,4.0,x
