1.121693812, Sport: ,Tennis, Time: ,Sat Nov 07 05:00:00 CET 2015, Time: ,Sat Nov 07 05:00:00 CET 2015, Event: ,Lertpitaksinchai v Lu, Favorite: ,Nicha Lertpitaksinchai, 3673415   size:3.72,Price: ,1.08,Jing-Jing Lu, 9422140   size:3.72,Price: ,1.08,x
1.121693813, Sport: ,Tennis, Time: ,Sat Nov 07 06:30:00 CET 2015, Time: ,Sat Nov 07 06:30:00 CET 2015, Event: ,Momkoonthod v Amanmuradova, Favorite: ,Akgul Amanmuradova, 2301144   size:7.44,Price: ,1.04,Tamachan Momkoonthod, 9630998   size:3.72,Price: ,1.08,ok
1.121533464, Sport: ,Soccer, Time: ,Fri Nov 06 20:00:00 CET 2015, Time: ,Fri Nov 06 20:00:00 CET 2015, Event: ,Telstar v Volendam, Favorite: ,Telstar, 67163   size:140.24,Price: ,2.4,Volendam, 419133   size:140.24,Price: ,2.86,The Draw, 58805   size:402.9,Price: ,4.1,x
1.121531320, Sport: ,Soccer, Time: ,Fri Nov 06 20:00:00 CET 2015, Time: ,Fri Nov 06 20:00:00 CET 2015, Event: ,Evian TG v Valenciennes, Favorite: ,Evian TG, 4864973   size:441.24,Price: ,2.12,Valenciennes, 669343   size:16.94,Price: ,4.5,The Draw, 58805   size:657.41,Price: ,3.1,ok
1.121617464, Sport: ,Tennis, Time: ,Sat Nov 07 08:00:00 CET 2015, Time: ,Sat Nov 07 08:00:00 CET 2015, Event: ,Medina Garr/Parra Santo v Dabrowski/Rosolska, Favorite: ,Medina Garr/Parra Santo, 9220633   size:2.55,Price: ,1.47,Dabrowski/Rosolska, 7766530   size:2.56,Price: ,2.54,ok
1.121649459, Sport: ,Ice Hockey, Time: ,Fri Nov 06 19:00:00 CET 2015, Time: ,Fri Nov 06 19:00:00 CET 2015, Event: ,Bjorkloven v Tingsryd, Favorite: ,Bjorkloven, 247108   size:8.41,Price: ,1.01,Tingsryd, 5877522   size:8.41,Price: ,1.01,Tie, 60104   size:8.41,Price: ,1.01,ok
1.121530359, Sport: ,Soccer, Time: ,Sat Nov 07 00:00:00 CET 2015, Time: ,Sat Nov 07 00:00:00 CET 2015, Event: ,Luverdense v Boa, Favorite: ,Luverdense, 4525645   size:570.71,Price: ,1.37,Boa, 5900070   size:4.0,Price: ,11.5,The Draw, 58805   size:3.68,Price: ,5.2,ok
1.121653645, Sport: ,Basketball, Time: ,Fri Nov 06 20:30:00 CET 2015, Time: ,Fri Nov 06 20:30:00 CET 2015, Event: ,Sheffield v Manchester, Favorite: ,Sheffield, 2938535   size:7.18,Price: ,1.28,Manchester, 6719049   size:26.13,Price: ,4.0,ok
1.121653644, Sport: ,Basketball, Time: ,Fri Nov 06 20:30:00 CET 2015, Time: ,Fri Nov 06 20:30:00 CET 2015, Event: ,Leeds v Plymouth, Favorite: ,Plymouth, 2939197   size:86.98,Price: ,1.71,Leeds, 8862089   size:63.3,Price: ,2.24,x
1.121626330, Sport: ,Soccer, Time: ,Fri Nov 06 20:30:00 CET 2015, Time: ,Fri Nov 06 20:30:00 CET 2015, Event: ,Antofagasta v Palestino, Favorite: ,Palestino, 5129869   size:46.37,Price: ,2.22,Antofagasta, 6105741   size:26.14,Price: ,3.6,The Draw, 58805   size:10.76,Price: ,3.55,ok
1.121543877, Sport: ,Soccer, Time: ,Sat Nov 07 06:00:00 CET 2015, Time: ,Sat Nov 07 06:00:00 CET 2015, Event: ,Niigata v Shonan, Favorite: ,Niigata, 744094   size:54.29,Price: ,2.1,Shonan, 4546954   size:13.74,Price: ,3.75,The Draw, 58805   size:42.07,Price: ,3.7,x
1.121654730, Sport: ,Basketball, Time: ,Fri Nov 06 21:00:00 CET 2015, Time: ,Fri Nov 06 21:00:00 CET 2015, Event: ,Melilla v Castello, Favorite: ,Melilla, 4661088   size:5.38,Price: ,1.21,Castello, 10370944   size:11.0,Price: ,5.4,x
1.121696853, Sport: ,Tennis, Time: ,Sat Nov 07 04:45:00 CET 2015, Time: ,Sat Nov 07 04:45:00 CET 2015, Event: ,Fujii v Anderson, Favorite: ,Shinta Fujii, 9623911   size:7.44,Price: ,1.04,Oliver Anderson, 9629842   size:7.44,Price: ,1.04,x
1.121680587, Sport: ,Soccer, Time: ,Sat Nov 07 03:30:00 CET 2015, Time: ,Sat Nov 07 03:30:00 CET 2015, Event: ,UNAN Managua v CD Ocotal, Favorite: ,CD Ocotal, 9198509   size:7.54,Price: ,1.11,UNAN Managua, 9198508   size:9.81,Price: ,1.44,The Draw, 58805   size:6.58,Price: ,2.98,x
1.121534396, Sport: ,Soccer, Time: ,Fri Nov 06 20:00:00 CET 2015, Time: ,Fri Nov 06 20:00:00 CET 2015, Event: ,CA Bastia v Lucon, Favorite: ,Lucon, 5114532   size:42.73,Price: ,2.8,CA Bastia, 6601801   size:3.13,Price: ,2.98,The Draw, 58805   size:25.06,Price: ,3.05,ok
1.121696857, Sport: ,Tennis, Time: ,Sat Nov 07 04:45:00 CET 2015, Time: ,Sat Nov 07 04:45:00 CET 2015, Event: ,Fukuda v Inui, Favorite: ,Sora Fukuda, 9628520   size:7.44,Price: ,1.04,Yuichiro Inui, 9634387   size:7.44,Price: ,1.04,ok
1.121534156, Sport: ,Soccer, Time: ,Fri Nov 06 20:30:00 CET 2015, Time: ,Fri Nov 06 20:30:00 CET 2015, Event: ,Dunkerque v Boulogne, Favorite: ,Dunkerque, 2250259   size:3.88,Price: ,2.44,Boulogne, 669346   size:27.82,Price: ,3.2,The Draw, 58805   size:25.77,Price: ,3.3,ok
1.121534398, Sport: ,Soccer, Time: ,Fri Nov 06 20:00:00 CET 2015, Time: ,Fri Nov 06 20:00:00 CET 2015, Event: ,Vendee Les Herbiers v Epinal, Favorite: ,Vendee Les Herbiers, 4421448   size:26.08,Price: ,1.82,Epinal, 2740568   size:2.55,Price: ,4.7,The Draw, 58805   size:4.07,Price: ,3.75,ok
1.121696858, Sport: ,Tennis, Time: ,Sat Nov 07 03:00:00 CET 2015, Time: ,Sat Nov 07 03:00:00 CET 2015, Event: ,Y Kosaka v Shiga, Favorite: ,Yusei Kosaka, 10500850   size:7.44,Price: ,1.04,Masato Shiga, 8505205   size:7.44,Price: ,1.04,x
1.121653649, Sport: ,Basketball, Time: ,Fri Nov 06 19:04:00 CET 2015, Time: ,Fri Nov 06 19:04:00 CET 2015, Event: ,Malbas v Umea, Favorite: ,Malbas, 10363137   size:22.0,Price: ,1.2,Umea, 8781147   size:6.09,Price: ,1.65,ok
1.121554481, Sport: ,Soccer, Time: ,Sat Nov 07 05:00:00 CET 2015, Time: ,Sat Nov 07 05:00:00 CET 2015, Event: ,FC Osaka v Sagawa Printing SC, Favorite: ,FC Osaka, 9301693   size:5.88,Price: ,1.07,Sagawa Printing SC, 7441173   size:4.25,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121534394, Sport: ,Soccer, Time: ,Fri Nov 06 20:00:00 CET 2015, Time: ,Fri Nov 06 20:00:00 CET 2015, Event: ,Amiens v Avranches, Favorite: ,Amiens, 70467   size:3.77,Price: ,2.12,Avranches, 2224930   size:4.9,Price: ,3.9,The Draw, 58805   size:20.58,Price: ,3.25,ok
1.121530194, Sport: ,Soccer, Time: ,Fri Nov 06 20:55:00 CET 2015, Time: ,Fri Nov 06 20:55:00 CET 2015, Event: ,Salford City v Notts Co, Favorite: ,Notts Co, 486328   size:565.96,Price: ,1.65,Salford City, 4236580   size:77.18,Price: ,5.9,The Draw, 58805   size:129.75,Price: ,4.3,x
1.121653648, Sport: ,Basketball, Time: ,Fri Nov 06 19:04:00 CET 2015, Time: ,Fri Nov 06 19:04:00 CET 2015, Event: ,Orebro v Norrkoping, Favorite: ,Orebro, 7723717   size:70.21,Price: ,1.03,Norrkoping, 5866167   size:29.45,Price: ,1.05,x
1.121654737, Sport: ,Basketball, Time: ,Fri Nov 06 21:00:00 CET 2015, Time: ,Fri Nov 06 21:00:00 CET 2015, Event: ,Palencia v Huesca, Favorite: ,Palencia, 4661101   size:9.79,Price: ,1.11,Huesca, 5021019   size:7.0,Price: ,8.4,ok
1.121555103, Sport: ,Soccer, Time: ,Sat Nov 07 08:00:00 CET 2015, Time: ,Sat Nov 07 08:00:00 CET 2015, Event: ,Ulsan Hyundai Horang-i v Daejeon Citizen, Favorite: ,Ulsan Hyundai Horang-i, 5352229   size:187.82,Price: ,1.73,Daejeon Citizen, 5352230   size:22.15,Price: ,5.1,The Draw, 58805   size:4.77,Price: ,3.9,ok
1.121533612, Sport: ,Soccer, Time: ,Fri Nov 06 20:30:00 CET 2015, Time: ,Fri Nov 06 20:30:00 CET 2015, Event: ,Cracovia Krakow v Slask Wroclaw, Favorite: ,Cracovia Krakow, 880537   size:192.44,Price: ,2.2,Slask Wroclaw, 3143307   size:22.54,Price: ,3.75,The Draw, 58805   size:29.16,Price: ,3.45,ok
1.121665118, Sport: ,Tennis, Time: ,Fri Nov 06 18:43:00 CET 2015, Time: ,Fri Nov 06 18:43:00 CET 2015, Event: ,Fratangelo v Laaksonen, Favorite: ,Henri Laaksonen, 6344314   size:489.71,Price: ,1.44,Bjorn Fratangelo, 7593723   size:117.64,Price: ,2.58,ok
1.121530743, Sport: ,Soccer, Time: ,Fri Nov 06 20:00:00 CET 2015, Time: ,Fri Nov 06 20:00:00 CET 2015, Event: ,AC Ajaccio v Bourg-Peronnas, Favorite: ,AC Ajaccio, 8720753   size:62.64,Price: ,2.68,Bourg-Peronnas, 676431   size:133.27,Price: ,3.15,The Draw, 58805   size:1185.96,Price: ,3.1,ok
1.121534422, Sport: ,Soccer, Time: ,Fri Nov 06 20:45:00 CET 2015, Time: ,Fri Nov 06 20:45:00 CET 2015, Event: ,Rhyl v Aberystwyth, Favorite: ,Aberystwyth, 339725   size:13.29,Price: ,2.1,Rhyl, 339726   size:2.55,Price: ,3.3,The Draw, 58805   size:3.61,Price: ,3.8,x
